internal_panel_id,index_gender_male,index_gender_female,index_age_24,index_age_25_34,index_age_35_44,index_age_45_54,index_age_55_64,index_age_65,unique_users,impacts
15727,101.634025,98.472065,100.565642,102.190023,101.885008,99.325956,101.053016,95.547426,47094.400056341,183593.87883162842
15790,101.921262,98.203477,99.922219,102.749214,100.60381,98.043139,102.488041,97.692589,30039.393348240224,134003.62413507755
15846,102.228987,97.915731,110.750274,94.119997,105.830209,108.985824,93.132972,77.58087,84621.35732521083,270681.37824180856
16339,100.258265,99.758503,95.098285,87.627263,101.22981,99.923751,89.541257,122.691541,55384.20296846664,164785.8313643326
16386,100.30938,99.710706,99.754337,87.360415,99.576632,105.628416,89.258072,111.939986,39547.411025230205,118374.82007852527
16503,101.852143,98.268108,111.990528,94.87125,101.879752,105.393568,99.4328,78.156825,17886.958254837402,49768.530027994435
16574,101.695487,98.414594,110.928939,84.617999,88.627472,115.452982,103.109221,88.09414,9864.568339877107,50749.044350934026
16861,99.482435,100.483962,110.798021,85.731282,88.683531,101.03577,93.167851,108.773432,8794.916351215734,35714.49139919362
17420,100.713334,99.33298,101.445871,93.318603,90.883875,103.874683,108.901641,101.584774,17768.10803387503,91336.394809585
18024,100.730303,99.317112,111.251612,98.936007,94.812142,106.814855,102.409979,80.14812,26860.1499374967,130586.68028240929
18498,101.393764,98.696727,103.368052,95.320812,110.116441,98.041919,91.184726,95.965323,61356.42657182598,167014.27300737714
18654,99.973718,100.024575,91.394852,94.433585,99.110636,91.366753,94.433464,130.699827,65872.73496839622,266789.03350529075
19079,98.993634,100.941027,111.582372,92.679527,89.106899,101.490826,99.897854,96.926844,20739.363557934397,66051.01029983978
19204,98.849809,101.075514,110.90468,92.110988,89.962393,101.415796,99.343111,97.978171,36546.44294593024,125000.71989717767
20135,98.981218,100.952637,113.727499,88.783037,85.61543,102.849893,102.093576,96.999288,44776.8207475747,144640.7189112101
20497,100.228259,99.786561,125.74267,78.172856,85.707111,115.939757,95.929943,77.29409,18065.233586280967,52739.78555205381
44596,101.904293,98.219345,105.982557,102.553752,107.326886,98.265177,107.307999,77.82155,60851.313132735886,238948.3692448545
47084,101.3859,98.704081,125.508943,76.97204,88.822513,112.565879,90.619187,82.449544,8111.527580682078,19045.747909220558
49331,102.625077,97.545358,106.985618,100.534546,121.287505,98.430485,87.123804,77.760482,4456.883286089054,14648.289733612692
58665,99.868177,100.123264,121.853642,86.082264,93.669341,110.37356,87.600485,81.07312,20561.088226490836,80342.74937056535
63645,101.004503,99.060715,95.20841,100.672219,105.446551,90.423702,99.687749,111.016782,86552.67341584942,342793.74981072947
64121,99.47871,100.487445,101.100479,104.636696,101.867489,96.939659,95.176721,99.588091,62544.92878144972,261500.1986724651
74058,102.367846,97.785888,122.367301,84.726778,117.567126,116.303923,75.788932,59.423327,47540.08838494991,190368.3414264838
87616,99.098969,100.842531,93.335515,108.108269,97.991778,98.223087,101.827,107.135972,350756.71461520856,1052091.868514182
87656,97.955607,101.91166,97.569165,105.460185,95.535078,96.742021,100.580488,107.289839,178156.48122259977,442003.9717590718
87724,97.611046,102.23385,97.420535,102.399082,94.914334,96.740191,100.470037,110.394727,142382.56471292497,438200.7646882758
87905,99.290805,100.66315,99.547949,104.935838,95.018862,100.439196,97.84331,103.456926,28018.939591879855,110708.9808264521
88599,100.198252,99.81462,103.748484,94.41234,103.219929,102.801093,92.978508,97.119627,64535.6699825695,190724.89208937093
88666,98.065907,101.808521,93.314722,109.84533,95.933336,96.264396,101.795442,110.00018,159883.25974963466,458940.12824621017
89056,97.968437,101.899663,94.132573,104.726778,93.670509,101.329177,104.693728,107.594581,87949.16351215733,300631.633924327
89385,99.324951,100.631221,98.147128,105.119402,100.241174,98.016909,101.552119,99.854515,114898.4511153758,272969.24499533424
89476,98.457444,101.442404,96.09865,105.200136,96.467655,98.239557,101.37108,106.762978,196815.96591369263,534558.5813335212
89537,98.178691,101.703059,96.707418,105.217982,95.530407,97.395325,101.631012,107.407186,225399.44405514374,629698.1832139022
89574,98.22484,101.659907,96.941915,105.156794,95.863845,97.488044,101.289696,106.897687,224181.2292902794,635967.5323696674
89844,97.621393,102.224174,93.601586,102.675278,93.843944,92.415333,102.231431,120.211104,83224.86722890293,295402.2242019825
89863,99.747736,100.235886,102.313009,100.831138,99.076183,102.881002,96.240533,96.648446,148859.9017553744,355362.1606775006
89874,97.103,102.708911,92.605456,110.813291,94.371839,94.719281,101.719041,113.593012,82690.04123457224,258291.242706481
89878,98.790002,101.131438,89.982095,111.001955,98.665662,97.94249,103.413998,108.751878,119503.89717766784,344309.0901279997
95994,100.259507,99.757342,124.336844,85.07861,122.339208,102.413137,73.507673,66.499428,48996.003591739,215059.47483141714
15538,103.005025,97.190078,114.200728,92.541005,113.241769,111.44715,85.267739,68.983458,21868.440657076957,84413.36943852669
16500,101.707697,98.403177,112.187289,95.1296,102.468963,104.354748,97.371612,79.571566,17203.56948430375,40141.66213004208
17172,100.860264,99.19559,104.810073,101.759157,90.953365,108.717426,110.713693,84.276195,11290.770991425603,53334.03665686568
18161,101.1564,98.91868,103.623342,97.761537,105.65911,101.969061,86.437018,97.987152,65516.184305509094,246762.7712731306
18467,100.030007,99.971941,91.136867,93.933033,95.982972,92.860629,97.337563,131.099762,55859.60385231614,250239.14023628007
